"Date","Price","Open","High","Low","Change %"
"Mar 13","1,596.17","1,580.30","1,616.76","1,561.18","1.04%"
"Feb 13","1,579.76","1,663.80","1,684.88","1,555.10","-5.00%"
"Jan 13","1,662.99","1,675.05","1,696.38","1,626.40","-0.68%"
"Dec 12","1,674.34","1,714.00","1,723.48","1,635.61","-2.34%"
"Nov 12","1,714.40","1,720.55","1,754.68","1,672.74","-0.33%"
"Oct 12","1,720.05","1,771.20","1,796.18","1,698.90","-2.86%"
"Sep 12","1,770.69","1,692.20","1,787.58","1,685.54","4.74%"
"Aug 12","1,690.54","1,609.72","1,693.21","1,584.97","4.79%"
"Jul 12","1,613.29","1,599.30","1,629.63","1,554.90","0.94%"
"Jun 12","1,598.20","1,560.24","1,640.88","1,545.34","2.53%"
"May 12","1,558.70","1,666.75","1,671.57","1,527.38","-6.32%"
"Apr 12","1,663.88","1,668.53","1,681.16","1,612.28","-0.26%"
"Mar 12","1,668.29","1,696.20","1,725.97","1,628.17","-1.56%"
"Feb 12","1,694.70","1,738.39","1,790.70","1,688.67","-2.55%"
"Jan 12","1,739.03","1,566.15","1,747.80","1,565.13","11.21%"
